Domain,Entity ID,Name,State,Unit,Device class,Last changed,Last updated
"number","number.thermostat_hc1_cooltemp","ems-esp Thermostat hc1 Cooling temperature","23","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_designtemp","ems-esp Thermostat hc1 Design temperature","47","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_dewoffset","ems-esp Thermostat hc1 Dew point offset","3","K","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_ecotemp","ems-esp Thermostat hc1 Eco temperature","17","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_fastheatup","ems-esp Thermostat hc1 Fast heatup","0","%","power_factor","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_heatoffdelay","ems-esp Thermostat hc1 Heat-off delay","4","h","duration","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_heatondelay","ems-esp Thermostat hc1 Heat-on delay","1","h","duration","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_hpminflowtemp","ems-esp Thermostat hc1 HP min. flow temp.","10","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_instantstart","ems-esp Thermostat hc1 Instant start","3","K","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_manualtemp","ems-esp Thermostat hc1 Manual temperature","21","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_maxflowtemp","ems-esp Thermostat hc1 Max flow temperature","60","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_minflowtemp","ems-esp Thermostat hc1 Min flow temperature","25","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_nofrosttemp","ems-esp Thermostat hc1 Nofrost temperature","5","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_noreducetemp","ems-esp Thermostat hc1 No reduce below temperature","3","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_offsettemp","ems-esp Thermostat hc1 Offset temperature","0","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_reducetemp","ems-esp Thermostat hc1 Off/reduce switch temperature","5","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_remotehum","ems-esp Thermostat hc1 Room humidity from remote","unknown","%","power_factor","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_remotetemp","ems-esp Thermostat hc1 Room temperature from remote","unknown","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_roominflfactor","ems-esp Thermostat hc1 Room influence factor","4","","","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_roominfluence","ems-esp Thermostat hc1 Room influence","0","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_roomtempdiff","ems-esp Thermostat hc1 Room temp difference","1","K","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_seltemp","ems-esp Thermostat hc1 Selected room temperature","17","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_solarinfl","ems-esp Thermostat hc1 Solar influence","0","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_summertemp","ems-esp Thermostat hc1 Summer temperature","19","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_hc1_tempautotemp","ems-esp Thermostat hc1 Temporary set temperature automode","-1.0","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_intoffset","ems-esp Thermostat Internal temperature offset","0","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_minexttemp","ems-esp Thermostat Minimal external temperature","-10.0","°C","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_pvlowercool","ems-esp Thermostat Lower cooling with PV","0","K","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"number","number.thermostat_pvraiseheat","ems-esp Thermostat Raise heating with PV","0","K","temperature","08/09/2026, 22:29:40","08/09/2026, 22:29:40"
"select","select.boiler_auxheatersource","ems-esp Boiler Aux heater source","electric heater","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"select","select.boiler_auxheatrmode","ems-esp Boiler Aux heater mode","comfort","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"select","select.boiler_chimneysweeper","ems-esp Boiler Chimney sweeper","unknown","","","08/09/2026, 22:29:38","08/09/2026, 22:29:38"
"select","select.boiler_dhw_circmode","ems-esp Boiler dhw Circulation pump mode","3x3min","","","08/09/2026, 22:29:48","08/09/2026, 22:29:48"
"select","select.boiler_dhw_comfort1","ems-esp Boiler dhw Comfort mode","high comfort","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"select","select.boiler_dhw_maxheat","ems-esp Boiler dhw Heat limit","6 kW","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"select","select.boiler_hppumpmode","ems-esp Boiler Primary heatpump mode","auto","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"select","select.boiler_mandefrost","ems-esp Boiler Manual defrost","unknown","","","08/09/2026, 22:29:38","08/09/2026, 22:29:38"
"select","select.boiler_maxheatcomp","ems-esp Boiler Heat limit compressor","2 kW","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"select","select.boiler_maxheatheat","ems-esp Boiler Heat limit heating","2 kW","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"select","select.boiler_pumpcharacter","ems-esp Boiler Boiler pump characteristic","proportional","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"select","select.boiler_reset","ems-esp Boiler Reset","unknown","","","08/09/2026, 22:29:38","08/09/2026, 22:29:38"
"select","select.boiler_shutdown","ems-esp Boiler Shutdown","unknown","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
"select","select.boiler_silentmode","ems-esp Boiler Silent mode","auto","","","08/09/2026, 22:29:39","08/09/2026, 22:29:39"
