Domain,Entity ID,Name,State,Unit,Device class,Last changed,Last updated,attr_id,attr_last_triggered,attr_mode,attr_current
"sensor","sensor.kompressor_energie","Kompressor Energie","18347.1849","kWh","energy","30/08/2026, 00:35:23","30/08/2026, 00:35:23","","","",""
"sensor","sensor.kompressor_energieeinspeisung","Kompressor Energieeinspeisung","0.0221","kWh","energy","30/08/2026, 00:26:35","30/08/2026, 00:26:35","","","",""
"sensor","sensor.kompressor_leistung","Kompressor Leistung","9.83","W","power","30/08/2026, 00:35:23","30/08/2026, 00:35:23","","","",""
"sensor","sensor.kompressor_leistungsfaktor","Kompressor Leistungsfaktor","0.21","","power_factor","30/08/2026, 00:35:23","30/08/2026, 00:35:23","","","",""
"sensor","sensor.kompressor_spannung","Kompressor Spannung","238.88","V","voltage","30/08/2026, 00:35:23","30/08/2026, 00:35:23","","","",""
"sensor","sensor.kompressor_stromstarke","Kompressor Stromstärke","0.19","A","current","30/08/2026, 00:26:35","30/08/2026, 00:26:35","","","",""
"sensor","sensor.kuche_spuhlmaschine_profil_auto_45_65_grad_zeit_verkurzt_anzahl","Spühlmaschine Profil Auto 45-65 Grad Zeit verkürzt Anzahl","16","cycles","","30/08/2026, 00:01:03","30/08/2026, 00:01:03","","","",""
"sensor","sensor.kueche_device_energy","Kueche  Device Energy","unavailable","kWh","energy","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.kueche_device_power","Kueche  Device Power","unavailable","W","power","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.kuehlschrank_kueche_energy_apparentpower","Kuehlschrank-Kueche  ENERGY ApparentPower","56","VA","apparent_power","30/08/2026, 00:33:29","30/08/2026, 00:33:29","","","",""
"sensor","sensor.kuehlschrank_kueche_energy_current","Kuehlschrank-Kueche  ENERGY Current","0.255","A","current","30/08/2026, 00:35:19","30/08/2026, 00:35:19","","","",""
"sensor","sensor.kuehlschrank_kueche_energy_factor","Kuehlschrank-Kueche  ENERGY Factor","0.96","","power_factor","30/08/2026, 00:34:59","30/08/2026, 00:34:59","","","",""
"sensor","sensor.kuehlschrank_kueche_energy_power","Kuehlschrank-Kueche  ENERGY Power","54","W","power","30/08/2026, 00:34:49","30/08/2026, 00:34:49","","","",""
"sensor","sensor.kuehlschrank_kueche_energy_reactivepower","Kuehlschrank-Kueche  ENERGY ReactivePower","15","var","reactive_power","30/08/2026, 00:35:29","30/08/2026, 00:35:29","","","",""
"sensor","sensor.kuehlschrank_kueche_energy_today","Kuehlschrank-Kueche  ENERGY Today","0.708","kWh","energy","30/08/2026, 00:35:19","30/08/2026, 00:35:19","","","",""
"sensor","sensor.kuehlschrank_kueche_energy_total","Kuehlschrank-Kueche  ENERGY Total","1446.673","kWh","energy","30/08/2026, 00:35:19","30/08/2026, 00:35:19","","","",""
"sensor","sensor.kuehlschrank_kueche_energy_totalstarttime","Kuehlschrank-Kueche  ENERGY TotalStartTime","2020-01-25T22:43:35","","","30/08/2026, 00:01:05","30/08/2026, 00:01:05","","","",""
"sensor","sensor.kuehlschrank_kueche_energy_voltage","Kuehlschrank-Kueche  ENERGY Voltage","221","V","voltage","30/08/2026, 00:35:29","30/08/2026, 00:35:29","","","",""
"sensor","sensor.kuehlschrank_kueche_energy_yesterday","Kuehlschrank-Kueche  ENERGY Yesterday","0.727","kWh","energy","30/08/2026, 00:01:05","30/08/2026, 00:01:05","","","",""
"sensor","sensor.kuehlschrank_kueche_last_restart_time","Kuehlschrank-Kueche  Last Restart Time","2026-08-26T08:31:22+00:00","","timestamp","30/08/2026, 00:01:05","30/08/2026, 00:01:05","","","",""
"sensor","sensor.kuehlschrank_kueche_mqtt_connect_count","Kuehlschrank-Kueche  MQTT Connect Count","6","","","30/08/2026, 00:01:05","30/08/2026, 00:01:05","","","",""
"sensor","sensor.kuehlschrank_kueche_restart_reason","Kuehlschrank-Kueche  Restart Reason","Software/System restart","","","30/08/2026, 00:01:05","30/08/2026, 00:01:05","","","",""
"sensor","sensor.kuehlschrank_kueche_ssid","Kuehlschrank-Kueche  SSID","JOBOSOUND-WIRE","","","30/08/2026, 00:01:05","30/08/2026, 00:01:05","","","",""
"sensor","sensor.kuehlschrank_kueche_wifi_connect_count","Kuehlschrank-Kueche  WiFi Connect Count","1","","","30/08/2026, 00:01:05","30/08/2026, 00:01:05","","","",""
"sensor","sensor.last_restart_time","Last Restart Time","unavailable","","timestamp","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.last_restart_time_2","Last Restart Time","unavailable","","timestamp","30/08/2026, 00:05:53","30/08/2026, 00:05:53","","","",""
"sensor","sensor.last_restart_time_3","Last Restart Time","unavailable","","timestamp","30/08/2026, 00:01:03","30/08/2026, 00:01:03","","","",""
"sensor","sensor.leverkusen_stadt_absender_1","Leverkusen, Stadt Absender 1","unavailable","","","30/08/2026, 00:01:02","30/08/2026, 00:01:02","","","",""
"sensor","sensor.leverkusen_stadt_absender_2","Leverkusen, Stadt Absender 2","unavailable","","","30/08/2026, 00:01:02","30/08/2026, 00:01:02","","","",""
"sensor","sensor.leverkusen_stadt_absender_3","Leverkusen, Stadt Absender 3","unavailable","","","30/08/2026, 00:01:02","30/08/2026, 00:01:02","","","",""
"sensor","sensor.leverkusen_stadt_betroffene_regionen_1","Leverkusen, Stadt Betroffene Regionen 1","unavailable","","","30/08/2026, 00:01:02","30/08/2026, 00:01:02","","","",""
